state,Poverty,fyDeclared
GA,13,2004
HI,8.6,2004
ID,9.9,2004
IL,12.3,2004
IN,11.6,2004
IA,10.9,2004
KS,11.4,2004
KY,17.8,2004
LA,16.8,2004
ME,11.6,2004
MD,9.9,2004
MA,9.3,2004
MI,13.3,2004
MN,7,2004
MS,18.7,2004
MO,12.2,2004
MT,14.2,2004
NE,9.5,2004
NV,10.9,2004
NH,5.5,2004
NJ,8,2004
NM,16.5,2004
NY,15,2004
NC,14.6,2004
ND,9.7,2004
OH,11.6,2004
OK,10.8,2004
OR,11.8,2004
PA,11.4,2004
RI,11.5,2004
SC,14.9,2004
SD,13.5,2004
TN,15.9,2004
TX,16.5,2004
UT,10.1,2004
VT,7.8,2004
VA,9.4,2004
WA,11.4,2004
WV,14.2,2004
WI,12.4,2004
WY,10,2004
AL,15,2003
AK,9.6,2003
AZ,13.5,2003
AR,17.8,2003
CA,13.1,2003
CO,9.7,2003
CT,8.1,2003
DE,7.3,2003
DC,16.8,2003
FL,12.7,2003
GA,11.9,2003
HI,9.3,2003
ID,10.2,2003
IL,12.6,2003
IN,9.9,2003
IA,8.9,2003
KS,10.8,2003
KY,14.4,2003
LA,17,2003
ME,11.6,2003
MD,8.6,2003
MA,10.3,2003
MI,11.4,2003
MN,7.4,2003
MS,16,2003
MO,10.7,2003
MT,15.1,2003
NE,9.8,2003
NV,10.9,2003
NH,5.8,2003
NJ,8.6,2003
NM,18.1,2003
NY,14.3,2003
NC,15.7,2003
ND,9.7,2003
OH,10.9,2003
OK,12.8,2003
OR,12.5,2003
PA,10.5,2003
RI,11.5,2003
SC,12.7,2003
SD,12.7,2003
TN,14,2003
TX,17,2003
UT,9.1,2003
VT,8.5,2003
VA,10,2003
WA,12.6,2003
WV,17.4,2003
WI,9.8,2003
WY,9.8,2003
AL,14.5,2002
AK,8.8,2002
AZ,13.5,2002
AR,19.8,2002
CA,13.1,2002
CO,9.8,2002
CT,8.3,2002
DE,9.1,2002
DC,17,2002
FL,12.6,2002
GA,11.2,2002
HI,11.3,2002
ID,11.3,2002
IL,12.8,2002
IN,9.1,2002
IA,9.2,2002
KS,10.1,2002
KY,14.2,2002
LA,17.5,2002
ME,13.4,2002
MD,7.4,2002
MA,10,2002
MI,11.6,2002
MN,6.5,2002
MS,18.4,2002
MO,9.9,2002
MT,13.5,2002
NE,10.6,2002
NV,8.9,2002
NH,5.8,2002
NJ,7.9,2002
NM,17.9,2002
NY,14,2002
NC,14.3,2002
ND,11.6,2002
OH,9.8,2002
OK,14.1,2002
OR,10.9,2002
PA,9.5,2002
RI,11,2002
SC,14.3,2002
SD,11.5,2002
TN,14.8,2002
TX,15.6,2002
UT,9.9,2002
VT,9.9,2002
VA,9.9,2002
WA,11,2002
WV,16.8,2002
WI,8.6,2002
WY,9,2002
AL,15.9,2001
AK,8.5,2001
AZ,14.6,2001
AR,17.8,2001
CA,12.6,2001
CO,8.7,2001
CT,7.3,2001
DE,6.7,2001
DC,18.2,2001
FL,12.7,2001
GA,12.9,2001
HI,11.4,2001
ID,11.5,2001
IL,10.1,2001
IN,8.5,2001
IA,7.4,2001
KS,10.1,2001
KY,12.6,2001
LA,16.2,2001
ME,10.3,2001
MD,7.2,2001
MA,8.9,2001
MI,9.4,2001
MN,7.4,2001
MS,19.3,2001
MO,9.7,2001
MT,13.3,2001
NE,9.4,2001
NV,7.1,2001
NH,6.5,2001
NJ,8.1,2001
NM,18,2001
NY,14.2,2001
NC,12.5,2001
ND,13.8,2001
OH,10.5,2001
OK,15.1,2001
OR,11.8,2001
PA,9.6,2001
RI,9.6,2001
SC,15.1,2001
SD,8.4,2001
TN,14.1,2001
TX,14.9,2001
UT,10.5,2001
VT,9.7,2001
VA,8,2001
WA,10.7,2001
WV,16.4,2001
WI,7.9,2001
WY,8.7,2001
AL,13.3,2000
AK,7.6,2000
AZ,11.7,2000
AR,16.5,2000
CA,12.7,2000
CO,9.8,2000
CT,7.7,2000
DE,8.4,2000
DC,15.2,2000
FL,11,2000
GA,12.1,2000
HI,8.9,2000
ID,12.5,2000
IL,10.7,2000
IN,8.5,2000
IA,8.3,2000
KS,8,2000
KY,12.6,2000
LA,17.2,2000
ME,10.1,2000
MD,7.4,2000
MA,9.8,2000
MI,9.9,2000
MN,5.7,2000
MS,14.9,2000
MO,9.2,2000
MT,14.1,2000
NE,8.6,2000
NV,8.8,2000
NH,4.5,2000
NJ,7.3,2000
NM,17.5,2000
NY,13.9,2000
NC,12.5,2000
ND,10.4,2000
OH,10,2000
OK,14.9,2000
OR,10.9,2000
PA,8.6,2000
RI,10.2,2000
SC,11.1,2000
SD,10.7,2000
TN,13.5,2000
TX,15.5,2000
UT,7.6,2000
VT,10,2000
VA,8.3,2000
WA,10.8,2000
WV,14.7,2000
WI,9.3,2000
WY,10.8,2000
